Flow Hash,Source IP,Destination IP,Number of Packets,Number of Packets (Scaled to 1000000),Source Port,Destination Port,Average Packet Size,Minimum Packet Size,Maximum Packet Size,Total Bytes,IAT Min,IAT Max,IAT Mean,Label
-6536257352929112972,37.60.229.253,78.128.113.46,5,5e-06,0.06785687037460898,0.8999313344014649,0.036,0.036,0.036,1.8e-06,48.406514485677086,138.53780951897303,80.14575147151946,n/a
3948842445656198293,37.60.229.253,79.225.178.215,67,6.7e-05,0.0003356984817273213,0.6408484016174564,0.11338308457711442,0.044,1.02,7.596666666666667e-05,0.0005960782368977864,0.031398395697275795,0.019312086271409363,benign
8929556204576477276,79.124.62.134,37.60.229.253,2,2e-06,0.8851911192492561,0.10243381399252308,0.04,0.04,0.04,8e-07,0.0004904747009277343,0.0004904747009277343,0.0004904747009277343,n/a
3787275809703502086,37.60.229.253,79.225.178.215,30,3e-05,0.0003356984817273213,0.6409094377050432,0.1642888888888889,0.044,0.996,4.9286666666666663e-05,0.0005928436915079752,0.019387269020080568,0.010509005917443168,benign
-6695059993451251125,78.128.114.162,37.60.229.253,2,2e-06,0.6807660028992142,0.5185015640497445,0.04,0.04,0.04,8e-07,0.0005367477734883626,0.0005367477734883626,0.0005367477734883626,n/a
6227200300855207293,37.60.229.253,78.128.114.162,3,3e-06,0.5185015640497445,0.6807660028992142,0.036,0.036,0.036,1.08e-06,98.40878804127375,103.44907343784968,100.08888317346573,n/a
6525606904863195436,91.92.40.66,37.60.229.253,3,3e-06,0.7675898374914168,0.015274280918593118,0.04,0.04,0.04,1.2e-06,55.003310883045195,93.63979889551798,67.88214022053613,n/a
-3676599272457978756,210.1.59.163,37.60.229.253,14,1.4e-05,0.9086442359044785,0.0003356984817273213,0.11704761904761905,0.04,0.8226666666666667,1.6386666666666667e-05,0.016709514458974204,0.17144736846288045,0.07671282206262861,malicious
-6659873019818332126,37.60.229.253,210.1.59.163,22,2.2e-05,0.0003356984817273213,0.9086442359044785,0.17893939393939395,0.044,0.6946666666666667,3.9366666666666664e-05,0.01670594612757365,0.16835378408432006,0.07738170208352985,malicious
4395629188305311320,62.80.98.102,37.60.229.253,39,3.9e-05,0.5678492408636606,0.0003356984817273213,0.1384957264957265,0.044,0.8226666666666667,5.4013333333333333e-05,0.00023948351542154949,4.821236292521159,2.8477424888529326,malicious
6826936884370256287,37.60.229.253,62.80.98.102,12,1.2e-05,0.0003356984817273213,0.5678492408636606,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.00034476915995279946,0.06331217288970947,0.011396671334902445,malicious
4924793388564100902,37.60.229.253,204.76.203.221,9,9e-06,0.18373388265812163,0.9308003356984818,0.036,0.036,0.036,3.24e-06,21.042274737358092,197.14632562001546,85.82787118355434,n/a
-8028236478761260270,212.19.8.30,37.60.229.253,10,1e-05,0.9085526817730983,0.0003356984817273213,0.14,0.044,0.8226666666666667,1.4e-05,7.454554239908854e-06,0.07115997076034546,0.01943984905878703,malicious
-8285997148710808867,37.60.229.253,212.19.8.30,10,1e-05,0.0003356984817273213,0.9085526817730983,0.1622,0.044,0.6946666666666667,1.622e-05,0.00020421346028645833,0.06829929749170939,0.01898954788843791,malicious
-8038199658398021757,94.23.66.112,37.60.229.253,16,1.6e-05,0.7311512932021057,0.0003356984817273213,0.10466666666666667,0.044,0.8226666666666667,1.6746666666666667e-05,0.0002274950345357259,0.07546005249023438,0.020349374661842983,malicious
-3876317416619422660,37.60.229.253,94.23.66.112,11,1.1e-05,0.0003356984817273213,0.7311512932021057,0.14684848484848487,0.044,0.6946666666666667,1.6153333333333333e-05,0.00041021108627319335,0.07525537808736166,0.01767904469461152,malicious
1103385834484713826,62.38.20.61,37.60.229.253,17,1.7e-05,0.23852903028915848,0.0003356984817273213,0.10109803921568628,0.044,0.8226666666666667,1.7186666666666666e-05,0.0007488846778869629,0.09346937338511149,0.02455157625908945,malicious
-4681738021709567952,37.60.229.253,62.38.20.61,12,1.2e-05,0.0003356984817273213,0.23852903028915848,0.14294444444444443,0.044,0.6946666666666667,1.7153333333333334e-05,0.0009440104166666667,0.09267379840215047,0.022843007246653238,malicious
-6146188020057475230,51.159.91.169,37.60.229.253,24,2.4e-05,0.5007095445181964,0.0003356984817273213,0.1231111111111111,0.044,0.8013333333333333,2.9546666666666666e-05,0.00029871066411336266,0.08404399156570434,0.03229828692144818,malicious
-2775421777326691110,37.60.229.253,51.159.91.169,10,1e-05,0.0003356984817273213,0.5007095445181964,0.1582,0.044,0.6946666666666667,1.582e-05,0.00046517054239908853,0.0034192164738972982,0.0014277084668477375,malicious
